"Umur,Laki-laki 2015,Laki-laki 2016,Laki-laki 2017,Perempuan 2015,Perempuan 2016,Perempuan 2017",,,,,,,,
"0-4,111201,110135,109050,106672,105578,104540",,,,,,,,
"5-9,111623,110860,109826,106287,105819,105041",,,,,,,,
"10-14,99278,99119,99010,95548,95294,95237",,,,,,,,
"15-19,110362,110433,109994,120346,120129,119670",,,,,,,,
"20-24,139306,140774,142348,145337,145919,146566",,,,,,,,
"25-29,133932,134336,135105,134235,134129,134508",,,,,,,,
"30-34,129848,128948,127761,132147,130778,129034",,,,,,,,
"35-39,120425,119482,118681,121232,120745,120417",,,,,,,,
"40-44,106659,106812,106631,108883,108986,108941",,,,,,,,
"45-49,92903,93958,94691,99582,100469,101080",,,,,,,,
"50-54,81003,82482,84000,87965,89959,91823",,,,,,,,
"55-59,65757,67692,69330,68888,72043,74874",,,,,,,,
"60-64,44090,46356,48473,42773,44813,47252",,,,,,,,
"65-69,28818,30198,31911,29225,30107,31051",,,,,,,,
"70-74,16880,17379,17831,19301,19619,19986",,,,,,,,
"75+,14598,15061,15540,23479,23994,24497",,,,,,,,
